,Odo (kms),Consumption (L),price,km/L,,,,,,,
"June 21, 2022","11,814",,,,,,,,,,
"June 30, 2022","11,997",3.925,335.4,46.63,,,,,,,
"July 7, 2022","12,176",4.23,362.72,42.32,,,,,,,
"July 14, 2022","12,385",4.693,366.52,44.53,,,,,,,
"July 18, 2022","12,506",2.78,220,43.53,,,,,,,
"July 25, 2022","12,704",4.54,314.62,43.61,,,,,,,
"July 31, 2022","12,904",4.325,292.37,46.24,,,,,,,
"August 2, 2022","13,023",2.458,180.66,48.41,,,,,,,
August 6. 2022,"13,194",4.011,301.09,42.63,,,,,,,
"August 8, 2022","13,426",4.637,348.7,50.03,,,,,,,
,,,,,,,,,,,
"August 14, 2022","13,700",4.2,300,,,,,,,,
"August 19, 2022","13,900",4.45,300,44.94,,,,,,,
,"14,091",4.7,352,40.63,,,,,,,
"August 29, 2022","14,293",4.48,330.22,45.09,,,,,,,
"September 8, 2022","14,485",4.63,333.36,41.46,,,,,,,
"September 15, 2022","14,593",2.78,200.3,38.85,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
AVERAGE,45.29,,,,,,,,,,
